Company ,Car Name,Engine,CC,HP (Horsepower),Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
FERRARI,SF90 STRADALE,V8,3990.0,963.0,340.0,2.5,1100000.0,plug in hyrbrid,2,800.0
ROLLS ROYCE,PHANTOM,V12,6749.0,563.0,250.0,5.3,460000.0,Petrol,5,900.0
MERCEDES, GT 63 S,V8,3982.0,630.0,250.0,3.2,161000.0,Petrol,4,900.0
AUDI,AUDI R8 Gt,V10,5204.0,602.0,320.0,3.6,253290.0,Petrol,2,560.0
BMW,Mclaren 720s,V8,3994.0,710.0,341.0,2.9,499000.0,Petrol,2,770.0
ASTON MARTIN,VANTAGE F1,V8,3982.0,656.0,314.0,3.6,193440.0,Petrol,2,685.0
BENTLEY,Continental GT Azure,V8,3996.0,550.0,318.0,4,311000.0,Petrol,4,900.0
LAMBORGHINI,VENENO ROADSTER,V12,6498.0,750.0,356.0,2.9,4500000.0,Petrol,2,690.0
FERRARI,F8 TRIBUTO,V8,3900.0,710.0,340.0,2.9,280000.0,Petrol,2,770.0
FERRARI,812 GTS,V12,6496.0,789.0,340.0,2.9,350000.0,Petrol,2,718.0
FERRARI,PORTOFINO,V8,3900.0,592.0,320.0,3.2,210000.0,Petrol,4,760.0
FERRARI,ROMA,V8,3900.0,612.0,320.0,3.4,230000.0,Petrol,4,760.0
FERRARI,MONZA SP2,V12,6496.0,789.0,340.0,2.9,1700000.0,Petrol,2,719.0
FERRARI,F8 SPIDER,V8,3900.0,710.0,340.0,2.9,280000.0,Petrol,2,770.0
FERRARI,PORTOFINO M,V8,3900.0,612.0,320.0,3.2,220000.0,Petrol,4,760.0
FERRARI,ROMA SPIDER,V8,3900.0,612.0,320.0,3.4,240000.0,Petrol,4,760.0
TOYOTA,GR SUPRA,I4,2998.0,382.0,250.0,4.1,53900.0,Petrol,2,500.0
TOYOTA,TOYOTA 86,BOXER-4,1998.0,205.0,226.0,6.4,27000.0,Petrol,4,205.0
TOYOTA,TOYOTA  GR86,BOXER-4,2387.0,228.0,226.0,5.6,30000.0,Petrol,4,250.0
TOYOTA,TOYOTA LAND CRUISER,V8,5663.0,381.0,220.0,6.7,85000.0,Diesel,7,500.0
TOYOTA,TOYOTA SEQUOIA,V8,5663.0,381.0,200.0,6.9,50000.0,Petrol,7,651.0
NISSAN,GT-R,V6,3799.0,600.0,315.0,2.9,113000.0,Petrol,4,637.0
NISSAN,370Z,V6,3696.0,332.0,250.0,4.7,30000.0,Petrol,2,366.0
NISSAN,Z PROTO,V6,2998.0,400.0,290.0,4.1,40000.0,Petrol,2,475.0
NISSAN,ALTIMA,I4,2488.0,188.0,225.0,7.3,25000.0,Petrol,5,380.0
NISSAN,MAXIMA,V6,3498.0,300.0,240.0,5.8,35000.0,Petrol,5,354.0
NISSAN,SENTRA,I4,1998.0,149.0,200.0,8.2,20000.0,Petrol,5,240.0
NISSAN,ROGUE,I4,2488.0,201.0,200.0,7.5,28000.0,Petrol,5,270.0
NISSAN,PATHFINDER,V6,3498.0,284.0,225.0,6.5,35000.0,Petrol,7,351.0
NISSAN,FRONTIER,V6,3799.0,310.0,180.0,6.8,30000.0,Petrol,5,381.0
NISSAN,TITAN,V8,5598.0,400.0,200.0,5.9,40000.0,Petrol,5,560.0
ASTON MARTIN,VALKYRIE,V12,6496.0,1160.0,402.0,2.5,3200000.0,Hybrid,2,900.0
ASTON MARTIN,VALHALLA,V8,3996.0,1000.0,362.0,2.5,1100000.0,Hybrid,2,1000.0
ASTON MARTIN,DBS SUPERLEGGERA,V12,5204.0,715.0,340.0,3.4,316000.0,Petrol,2,900.0
ASTON MARTIN,DB11,V12,5204.0,600.0,322.0,3.9,208000.0,Petrol,4,700.0
ASTON MARTIN,VANTAGE ,V8,3996.0,503.0,313.0,3.6,142000.0,Petrol,2,685.0
ASTON MARTIN,DBX,V8,3996.0,542.0,291.0,4.5,189000.0,Petrol,5,700.0
ASTON MARTIN,RAPIDE AMR,V12,5935.0,580.0,328.0,4.2,240000.0,Petrol,4,630.0
ASTON MARTIN,VANQUISH,V12,5935.0,580.0,324.0,3.6,294000.0,Petrol,2,630.0
ASTON MARTIN,LAGONDA TARAF,V12,5935.0,540.0,314.0,4.2,1100000.0,Petrol,4,630.0
ASTON MARTIN,VICTOR,V12,5204.0,836.0,320.0,2.8,1300000.0,Petrol,2,821.0
LAMBORGHINI,SIAN,V12,6498.0,819.0,350.0,2.8,2800000.0,Hybrid,2,720.0
LAMBORGHINI,AVENTADOR SVJ,V12,6498.0,759.0,350.0,2.8,518000.0,Petrol,2,720.0
